module,path,language,loc,has_tests,primary_kinds
Croc-Bot,StartBot.bat,Other,110,no,code
Croc-Bot,auto_push.py,Python,118,no,code
Croc-Bot,test_system.py,Python,104,yes,test
Croc-Bot,.gitconfig,Other,3,no,code
Croc-Bot,README.md,Markdown,262,no,docs
Croc-Bot,test_result.md,Markdown,193,yes,docs;test
Croc-Bot,start_real_trading.py,Python,162,no,code
Croc-Bot,UpdateLocalFolder.bat,Other,162,no,code
Croc-Bot,simple_dashboard.py,Python,689,no,code
Croc-Bot,start_croc_bot.py,Python,86,no,code
Croc-Bot,real_trading_dashboard.py,Python,423,no,code
Croc-Bot,.gitignore,Other,13,no,code
Croc-Bot,.openhands/microagents/dashboard.md,Markdown,31,no,docs
Croc-Bot,tests/test_repo_mapper.py,Python,106,yes,test
Croc-Bot,.emergent/emergent.yml,YAML,4,no,code
crippel-trader,crippel-trader/pyproject.toml,TOML,54,no,code
crippel-trader,crippel-trader/requirements.txt,Other,56,no,code
crippel-trader,crippel-trader/CHANGELOG.md,Markdown,178,no,docs
crippel-trader,crippel-trader/Makefile,Other,59,no,code
crippel-trader,crippel-trader/README.md,Markdown,505,no,docs
crippel-trader,crippel-trader/LICENSE,Other,21,no,code
crippel-trader,crippel-trader/make.ps1,Powershell,106,no,script
crippel-trader,crippel-trader/.gitignore,Other,23,no,code
crippel-trader,crippel-trader/README_OLD.md,Markdown,21,no,docs
crippel-trader,crippel-trader/scripts/setup.ps1,Powershell,66,no,script
crippel-trader,crippel-trader/scripts/smoke.py,Python,45,no,code
crippel-trader,crippel-trader/scripts/setup.sh,Shell,64,no,script
crippel-trader,crippel-trader/backend/main.py,Python,6,no,entrypoint
crippel-trader,crippel-trader/backend/crippel/strategy_manager.py,Python,472,no,code
crippel-trader,crippel-trader/backend/crippel/safety.py,Python,171,no,code
crippel-trader,crippel-trader/backend/crippel/enhanced_runtime.py,Python,443,no,code
crippel-trader,crippel-trader/backend/crippel/real_trading_engine.py,Python,489,no,code
crippel-trader,crippel-trader/backend/crippel/app.py,Python,86,no,code
crippel-trader,crippel-trader/backend/crippel/logging.py,Python,38,no,code
crippel-trader,crippel-trader/backend/crippel/__init__.py,Python,0,no,code
crippel-trader,crippel-trader/backend/crippel/paper_trading.py,Python,431,no,code
crippel-trader,crippel-trader/backend/crippel/ws.py,Python,70,no,code
crippel-trader,crippel-trader/backend/crippel/api.py,Python,830,no,code
crippel-trader,crippel-trader/backend/crippel/enhanced_trading_system.py,Python,445,no,code
crippel-trader,crippel-trader/backend/crippel/notifications.py,Python,400,no,code
crippel-trader,crippel-trader/backend/crippel/config.py,Python,114,no,code
crippel-trader,crippel-trader/backend/crippel/runtime.py,Python,192,no,code
crippel-trader,crippel-trader/backend/crippel/risk_manager.py,Python,519,no,code
crippel-trader,crippel-trader/backend/crippel/adapters/kraken.py,Python,422,no,code
crippel-trader,crippel-trader/backend/crippel/adapters/stocks_stub.py,Python,20,no,code
crippel-trader,crippel-trader/backend/crippel/adapters/__init__.py,Python,0,no,code
crippel-trader,crippel-trader/backend/crippel/adapters/base.py,Python,23,no,code
crippel-trader,crippel-trader/backend/crippel/services/state.py,Python,76,no,code
crippel-trader,crippel-trader/backend/crippel/services/__init__.py,Python,0,no,code
crippel-trader,crippel-trader/backend/crippel/services/stats.py,Python,17,no,code
crippel-trader,crippel-trader/backend/crippel/tests/test_fills.py,Python,39,yes,test
crippel-trader,crippel-trader/backend/crippel/tests/__init__.py,Python,0,yes,test
crippel-trader,crippel-trader/backend/crippel/tests/test_portfolio.py,Python,27,yes,test
crippel-trader,crippel-trader/backend/crippel/tests/test_params.py,Python,19,yes,test
crippel-trader,crippel-trader/backend/crippel/tests/test_strategy.py,Python,19,yes,test
crippel-trader,crippel-trader/backend/crippel/tests/test_api.py,Python,24,yes,test
crippel-trader,crippel-trader/backend/crippel/engine/risk.py,Python,42,no,code
crippel-trader,crippel-trader/backend/crippel/engine/portfolio.py,Python,54,no,code
crippel-trader,crippel-trader/backend/crippel/engine/simulator.py,Python,47,no,code
crippel-trader,crippel-trader/backend/crippel/engine/fills.py,Python,46,no,code
crippel-trader,crippel-trader/backend/crippel/engine/prediction.py,Python,34,no,code
crippel-trader,crippel-trader/backend/crippel/engine/__init__.py,Python,0,no,code
crippel-trader,crippel-trader/backend/crippel/engine/clock.py,Python,43,no,code
crippel-trader,crippel-trader/backend/crippel/engine/params.py,Python,54,no,code
crippel-trader,crippel-trader/backend/crippel/engine/strategy.py,Python,52,no,code
crippel-trader,crippel-trader/backend/crippel/engine/market.py,Python,51,no,code
crippel-trader,crippel-trader/backend/crippel/engine/strategies/macd_rsi.py,Python,34,no,code
crippel-trader,crippel-trader/backend/crippel/engine/strategies/__init__.py,Python,0,no,code
crippel-trader,crippel-trader/backend/crippel/persistence/repo.py,Python,53,no,code
crippel-trader,crippel-trader/backend/crippel/persistence/__init__.py,Python,0,no,code
crippel-trader,crippel-trader/backend/crippel/persistence/schema.sql,SQL,15,no,code
crippel-trader,crippel-trader/backend/crippel/strategies/arbitrage.py,Python,468,no,code
crippel-trader,crippel-trader/backend/crippel/strategies/market_making.py,Python,438,no,code
crippel-trader,crippel-trader/backend/crippel/strategies/__init__.py,Python,15,no,code
crippel-trader,crippel-trader/backend/crippel/strategies/base.py,Python,280,no,code
crippel-trader,crippel-trader/backend/crippel/strategies/technical.py,Python,406,no,code
crippel-trader,crippel-trader/backend/crippel/models/wire.py,Python,83,no,code
crippel-trader,crippel-trader/backend/crippel/models/enums.py,Python,44,no,code
crippel-trader,crippel-trader/backend/crippel/models/__init__.py,Python,0,no,code
crippel-trader,crippel-trader/backend/crippel/models/core.py,Python,168,no,code
crippel-trader-frontend,crippel-trader/frontend/package.json,JSON,18,no,code
crippel-trader-frontend,crippel-trader/frontend/next.config.js,JavaScript,10,no,code
crippel-trader-frontend,crippel-trader/frontend/src/styles/globals.css,Other,115,no,code
crippel-trader-frontend,crippel-trader/frontend/src/components/ConnectionIndicator.jsx,JavaScript,15,no,code
crippel-trader-frontend,crippel-trader/frontend/src/components/OrderBlotter.jsx,JavaScript,38,no,code
crippel-trader-frontend,crippel-trader/frontend/src/components/KPI.jsx,JavaScript,12,no,code
crippel-trader-frontend,crippel-trader/frontend/src/components/ModeToggle.jsx,JavaScript,32,no,code
crippel-trader-frontend,crippel-trader/frontend/src/components/AggressionSlider.jsx,JavaScript,25,no,code
crippel-trader-frontend,crippel-trader/frontend/src/components/EquityChart.jsx,JavaScript,23,no,code
crippel-trader-frontend,crippel-trader/frontend/src/lib/api.js,JavaScript,16,no,code
crippel-trader-frontend,crippel-trader/frontend/src/pages/index.jsx,JavaScript,113,no,code
crippel-trader-frontend,crippel-trader/frontend/src/pages/_app.jsx,JavaScript,6,no,code
Croc-Bot,tools/__init__.py,Python,0,no,code
Croc-Bot,tools/repo_mapper.py,Python,457,no,code
Croc-Bot,.pytest_cache/README.md,Markdown,8,no,docs
Croc-Bot,.pytest_cache/.gitignore,Other,2,no,code
Croc-Bot,.pytest_cache/CACHEDIR.TAG,Other,4,no,code
Croc-Bot,.pytest_cache/v/cache/nodeids,Other,15,no,code
Croc-Bot,.pytest_cache/v/cache/lastfailed,Other,5,no,code
